title,method,complexity,scenario,advantages,limitations,data_driven,category,category_zh,category_bilingual,source_category
MathNet: a Global Multimodal Benchmark for Mathematical Reasoning and Retrieval,"Constructing a dataset of 30,676 expert-authored math problems with solutions across 47 countries, 17 languages, and two decades of competitions, along with a retrieval benchmark of equivalent and structurally similar...",high,"MathNet dataset with Olympiad-level math problems from 47 countries, 17 languages, and two decades of competitions. Retrieval benchmark with mathematically equivalent and structurally similar problem pairs.","Introducing MathNet, a high-quality, large-scale, multimodal, and multilingual dataset of Olympiad-level math problems with a benchmark for evaluating mathematical reasoning and retrieval.",Not explicitly mentioned in the abstract,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),"Evaluation, Benchmarks, and Diagnostics"
MASS-RAG: Multi-Agent Synthesis Retrieval-Augmented Generation,"Distinct agents for evidence summarization, evidence extraction, and reasoning over retrieved documents, with a dedicated synthesis stage to combine their outputs.",high,Four benchmarks,A multi-agent synthesis approach to RAG that structures evidence processing into multiple role-specialized agents.,unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Agentic and Multi-Agent RAG
WorldDB: A Vector Graph-of-Worlds Memory Engine with Ontology-Aware Write-Time Reconciliation,"WorldDB, a memory engine with recursive worlds (containers with subgraphs), content-addressed immutable nodes, and typed edges with behavioral handlers.",medium,"LongMemEval-s (500 questions, ~115k-token conversational stacks)","A memory engine based on three commitments: (i) every node is a world with its own subgraph and ontology scope, (ii) nodes are content-addressed and immutable, and (iii) edges are write-time programs with handlers for...",not specified,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Core Retrieval and Ranking Methods
ArbGraph: Conflict-Aware Evidence Arbitration for Reliable Long-Form Retrieval-Augmented Generation,"ArbGraph decomposes retrieved documents into atomic claims and organizes them into a conflict-aware evidence graph with explicit support and contradiction relations, then uses an intensity-driven iterative arbitration...",medium,LongFact and RAGChecker benchmarks,"ArbGraph, a framework for pre-generation evidence arbitration in long-form RAG that explicitly resolves factual conflicts by decomposing documents into atomic claims and organizing them into a conflict-aware evidence...",unknown,yes,"Reliability, Safety, Privacy, and Security",可靠性、安全、隐私与防护,"可靠性、安全、隐私与防护 (Reliability, Safety, Privacy, and Security)","Reliability, Safety, Privacy, and Security"
DocQAC: Adaptive Trie-Guided Decoding for Effective In-Document Query Auto-Completion,"A novel adaptive trie-guided decoding framework that incorporates document context through retrieval-augmented generation (RAG) and lightweight contextual signals like titles, keyphrases, and summaries.",medium,"DocQAC benchmark derived from ORCAS, enriched with query-document pairs","An adaptive trie-guided decoding framework that uses user query prefixes to softly steer language models toward high-quality completions, with an adaptive penalty mechanism enabling a trade-off between model confidenc...",Unknown,yes,General or Unspecified RAG,通用或未明确 RAG,通用或未明确 RAG (General or Unspecified RAG),Core Retrieval and Ranking Methods
Evaluating Multi-Hop Reasoning in RAG Systems: A Comparison of LLM-Based Retriever Evaluation Strategies,"Using LLM-as-judge evaluation strategies to compare retrievers in RAG systems, focusing on context-aware evaluation for multi-hop queries.",low,"HotPotQA, MuSiQue, and SQuAD datasets",Context-Aware Retriever Evaluation (CARE) strategy for better evaluating multi-hop reasoning in RAG systems.,Not specified,yes,"Evaluation, Benchmarks, and Diagnostics",评测、基准与诊断,"评测、基准与诊断 (Evaluation, Benchmarks, and Diagnostics)","Evaluation, Benchmarks, and Diagnostics"
"NIM4-ASR: Towards Efficient, Robust, and Customizable Real-Time LLM-Based ASR",NIM4-ASR framework with reformulated pre-training architecture and objective to reduce modality gap and improve parameter efficiency; iterative asynchronous SFT stage to preserve acoustic fidelity and constrain repres...,high,"public benchmarks and internal benchmarks, particularly entity-intensive real-world scenarios",A production-oriented LLM-based ASR framework optimized for efficiency and robustness with a redesigned multi-stage training paradigm,unknown,yes,"Efficiency, Deployment, and On-Device RAG",效率、部署与端侧 RAG,"效率、部署与端侧 RAG (Efficiency, Deployment, and On-Device RAG)","Efficiency, Deployment, and On-Device RAG"
Architecture Matters More Than Scale: A Comparative Study of Retrieval and Memory Augmentation for Financial QA Under SME Compute Constraints,"Comparing four reasoning architectures (baseline LLM, RAG, structured long-term memory, and memory-augmented conversational reasoning) using locally hosted 8B-parameter models in SME-constrained settings.",medium,FinQA and ConvFinQA benchmarks,Systematically comparing different reasoning architectures in an SME-constrained environment to determine which approaches work best under specific financial QA conditions.,Unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Domain-Specific RAG Applications
RAVEN: Retrieval-Augmented Vulnerability Exploration Network for Memory Corruption Analysis in User Code and Binary Programs,"RAVEN (Retrieval Augmented Vulnerability Exploration Network) with four modules: Explorer agent for vulnerability identification, RAG engine for retrieving relevant knowledge, Analyst agent for impact assessment, and...",medium,NIST-SARD dataset with 105 vulnerable code samples covering 15 CWE types,A framework leveraging LLM agents and Retrieval Augmented Generation (RAG) to synthesize comprehensive vulnerability analysis reports following the Google Project Zero Root Cause Analysis template.,unknown,yes,Agentic and Multi-Agent RAG,智能体与多智能体 RAG,智能体与多智能体 RAG (Agentic and Multi-Agent RAG),Domain-Specific RAG Applications
AeroRAG: Structured Multimodal Retrieval-Augmented LLM for Fine-Grained Aerial Visual Reasoning,"AeroRAG, which converts input images into structured visual knowledge and uses retrieval of query-relevant semantic chunks to construct prompts for a text-based LLM.",medium,"AUG aerial dataset, VG-150 benchmark, and VQAv2","A scene-graph-guided multimodal retrieval-augmented generation framework that converts input images into structured visual knowledge including object categories, quantities, spatial locations, and semantic relations,...",unknown,yes,Multimodal and Visual RAG,多模态与视觉 RAG,多模态与视觉 RAG (Multimodal and Visual RAG),Multimodal and Visual RAG
